,,Total,,Total Consumer,,Usership,,,,,,Suatainability advocacy,,,,,,,,CRC/ CPN awareness,,,,,,,,,,NPS,,,,,,,,Gender,,,,,,Age,,,,,,,,,,Region,,,,,,,,,,,,,,Income,,,,,,,,Total Investor,,,,Investment,,,,,,highest proportion investment,,,,,,,,Industry,,,,,,Suatainability advocacy,,,,,,CRC/ CPN awareness,,,,,,,,,,NPS,,,,,,,,Gender,,,,,,Age,,,,,,,,,,,,Region,,,,,,,,,,,,,,Income,,,,,,,
,,Total,,Total Consumer,,Total,,CRC user,,Non CRC user,,Total,,Will buy the product/service even if it is more expensive than the regular product/service,,Will buy the product/service even if it is much more expensive than the regular product/service,,Will buy the product/service regardless of the price,,Total,,CRC Aware,,CPN Aware,,Both CRC and CPN Aware,,Non-aware,,Total,,Promoter,,Passive,,Detector,,Total,,Male,,Female,,Total,,25-29 yrs,,30-39 yrs,,40-49 yrs,,50-55 yrs,,Total,,GBKK,,UPC [Net],,Central,,North,,South,,Northeast,,Total,,A/A+,,B,,C,,Total Investor,,2,,Total,,CRC invester,,CRC non invester,,Total,,PTT,,CPALL,,OR,,Total,,Retail,,Non retail,,Total,,4,,5,,Total,,CRC Aware,,CPN Aware,,Both CRC and CPN Aware,,Non-aware,,Total,,Promoter,,Passive,,Detector,,Total,,Male,,Female,,Total,,25-29 yrs,,30-39 yrs,,40-49 yrs,,50-55 yrs,,>55 yrs,,Total,,GBKK,,UPC [Net],,Central,,North,,South,,Northeast,,Total,,A/A+,,B,,C,
,,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N
,"Real Estate and Construction Materials, Construction Services, Real Estate, Real Estate Investment Trusts and Funds",60%,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,149,60%,149,69%,22,58%,127,63%,97,57%,39,69%,40,64%,18,60%,149,71%,101,44%,48,60%,131,54%,35,62%,96,60%,149,62%,13,61%,34,68%,65,48%,37,67%,78,65%,35,65%,30,76%,13,60%,149,63%,79,56%,70,60%,149,57%,17,54%,49,60%,39,69%,25,68%,19,,,,,,,,,,,,,,,60%,149,53%,44,64%,68,62%,37
,"Technology, Electronics Components, Information and Communication Technology",60%,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,151,60%,151,56%,18,61%,133,65%,100,61%,42,67%,39,68%,19,60%,151,73%,104,44%,47,63%,138,62%,40,64%,98,60%,151,52%,11,80%,45,61%,59,47%,36,60%,70,69%,37,48%,22,65%,11,60%,151,59%,74,62%,77,60%,151,50%,15,55%,50,65%,42,64%,23,75%,21,,,,,,,,,,,,,,,60%,151,49%,41,69%,74,60%,36
,"Service Industry, Commerce, Medical, Media and Publishing, Specialized Services, Tourism and Entertainment, Transport an",38%,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38%,96,38%,96,66%,21,34%,75,42%,65,39%,27,31%,18,71%,20,38%,96,40%,57,36%,39,36%,78,48%,31,31%,47,38%,96,52%,11,21%,12,55%,53,26%,20,55%,64,41%,22,65%,30,71%,12,38%,96,39%,49,38%,47,38%,96,37%,11,37%,34,31%,20,53%,19,43%,12,,,,,,,,,,,,,,,38%,96,43%,36,29%,31,48%,29
S3C) Please specify your gender.,Total,100%,650,100%,400,100%,211,100%,169,100%,42,100%,194,100%,75,100%,58,100%,61,100%,400,100%,51,100%,53,100%,160,100%,136,100%,211,100%,80,100%,77,100%,54,100%,400,100%,200,100%,200,100%,400,100%,70,100%,128,100%,131,100%,71,100%,400,100%,200,100%,200,100%,49,100%,50,100%,51,100%,50,100%,400,100%,50,100%,101,100%,249,,,100%,250,100%,250,100%,32,100%,218,100%,155,100%,69,100%,58,100%,28,100%,250,100%,142,100%,108,100%,219,100%,65,100%,154,100%,250,100%,21,100%,56,100%,96,100%,77,100%,117,100%,54,100%,46,100%,17,100%,250,100%,125,100%,125,100%,250,100%,30,100%,91,100%,65,100%,36,100%,28,100%,400,100%,200,100%,200,100%,49,100%,50,100%,51,100%,50,100%,250,100%,83,100%,107,100%,60
,Male,50%,325,50%,200,46%,98,46%,78,48%,20,49%,96,51%,38,55%,32,43%,26,50%,200,45%,23,45%,24,47%,75,57%,78,46%,98,50%,40,40%,31,50%,27,50%,200,100%,200,,,50%,200,26%,18,52%,66,57%,75,58%,41,50%,200,59%,118,41%,82,39%,19,36%,18,35%,18,54%,27,50%,200,46%,23,44%,44,53%,133,,,50%,125,50%,125,66%,21,48%,104,50%,78,43%,30,55%,32,57%,16,50%,125,45%,64,56%,61,47%,104,57%,37,44%,67,50%,125,62%,13,46%,26,55%,53,43%,33,56%,66,52%,28,65%,30,47%,8,50%,125,100%,125,,,50%,125,47%,14,48%,44,43%,28,58%,21,64%,18,50%,200,59%,118,41%,82,39%,19,36%,18,35%,18,54%,27,50%,125,58%,48,48%,51,43%,26
,Female,50%,325,50%,200,54%,113,54%,91,52%,22,51%,98,49%,37,45%,26,57%,35,50%,200,55%,28,55%,29,53%,85,43%,58,54%,113,50%,40,60%,46,50%,27,50%,200,,,100%,200,50%,200,74%,52,48%,62,43%,56,42%,30,50%,200,41%,82,59%,118,61%,30,64%,32,65%,33,46%,23,50%,200,54%,27,56%,57,47%,116,,,50%,125,50%,125,34%,11,52%,114,50%,77,57%,39,45%,26,43%,12,50%,125,55%,78,44%,47,53%,115,43%,28,56%,87,50%,125,38%,8,54%,30,45%,43,57%,44,44%,51,48%,26,35%,16,53%,9,50%,125,,,100%,125,50%,125,53%,16,52%,47,57%,37,42%,15,36%,10,50%,200,41%,82,59%,118,61%,30,64%,32,65%,33,46%,23,50%,125,42%,35,52%,56,57%,34
AGE_RD) Age range,Total,100%,650,100%,400,100%,211,100%,169,100%,42,100%,194,100%,75,100%,58,100%,61,100%,400,100%,51,100%,53,100%,160,100%,136,100%,211,100%,80,100%,77,100%,54,100%,400,100%,200,100%,200,100%,400,100%,70,100%,128,100%,131,100%,71,100%,400,100%,200,100%,200,100%,49,100%,50,100%,51,100%,50,100%,400,100%,50,100%,101,100%,249,,,100%,250,100%,250,100%,32,100%,218,100%,155,100%,69,100%,58,100%,28,100%,250,100%,142,100%,108,100%,219,100%,65,100%,154,100%,250,100%,21,100%,56,100%,96,100%,77,100%,117,100%,54,100%,46,100%,17,100%,250,100%,125,100%,125,100%,250,100%,30,100%,91,100%,65,100%,36,100%,28,100%,400,100%,200,100%,200,100%,49,100%,50,100%,51,100%,50,100%,250,100%,83,100%,107,100%,60
,Less than 25 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-29 years old,15%,100,18%,70,20%,42,20%,34,19%,8,20%,39,24%,18,14%,8,21%,13,18%,70,29%,15,17%,9,17%,27,14%,19,20%,42,16%,13,22%,17,22%,12,18%,70,9%,18,26%,52,18%,70,100%,70,,,,,,,18%,70,15%,29,21%,41,22%,11,14%,7,22%,11,24%,12,18%,70,32%,16,17%,17,15%,37,,,12%,30,12%,30,3%,1,13%,29,11%,17,16%,11,7%,4,7%,2,12%,30,14%,20,9%,10,12%,27,9%,6,14%,21,12%,30,5%,1,11%,6,6%,6,22%,17,6%,7,9%,5,2%,1,6%,1,12%,30,11%,14,13%,16,12%,30,100%,30,,,,,,,,,18%,70,15%,29,21%,41,22%,11,14%,7,22%,11,24%,12,12%,30,8%,7,19%,20,5%,3
,30-39 years old,34%,219,32%,128,30%,64,32%,54,24%,10,38%,73,44%,33,34%,20,33%,20,32%,128,29%,15,34%,18,31%,49,34%,46,30%,64,34%,27,27%,21,30%,16,32%,128,33%,66,31%,62,32%,128,,,100%,128,,,,,32%,128,35%,70,29%,58,29%,14,30%,15,35%,18,22%,11,32%,128,30%,15,30%,30,33%,83,,,36%,91,36%,91,38%,12,36%,79,37%,57,33%,23,33%,19,54%,15,36%,91,34%,48,40%,43,37%,82,37%,24,38%,58,36%,91,43%,9,39%,22,31%,30,39%,30,33%,39,33%,18,37%,17,24%,4,36%,91,35%,44,38%,47,36%,91,,,100%,91,,,,,,,32%,128,35%,70,29%,58,29%,14,30%,15,35%,18,22%,11,36%,91,39%,32,35%,37,37%,22
